id_text;document;age_texte_age_min_text;age_texte_age_max_text;age_texte_age_moyen_text
210;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.93.txt;2.53;2.53;2.53
211;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.98.txt;2.70;2.70;2.70
212;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_2.18.txt;2.84;2.84;2.84
213;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_2.25.txt;2.86;2.86;2.86
214;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_2.34.txt;2.88;2.88;2.88
215;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_2.41.txt;2.89;2.89;2.89
216;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_2.5.txt;2.96;2.96;2.96
217;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_2.59.txt;2.92;2.92;2.92
218;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_2.66.txt;3.09;3.09;3.09
219;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_2.77.txt;3.12;3.12;3.12
220;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_2.83.txt;3.26;3.26;3.26
221;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_2.91.txt;3.41;3.41;3.41
222;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_2.99.txt;3.31;3.31;3.31
223;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_3.16.txt;3.51;3.51;3.51
224;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_3.25.txt;3.83;3.83;3.83
225;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_3.36.txt;3.82;3.82;3.82
226;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_3.44.txt;3.82;3.82;3.82
227;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_3.52.txt;3.70;3.70;3.70
