fichier	corpus	loc	utt	token	age	annee	FUT	CONJ	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./ttg_perceo_clan/Enfants_Long_lionel_can_5.5-5.9_lionel9_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	435	88	5;08.11	5.66667	0	1	0	0	2	25	0	0	0	1	0	5	0	0	4	0	0	19	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise1_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	77	24	4;02.12	4.16667	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise2_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	118	29	4;03.17	4.25	0	0	0	0	0	11	1	0	0	1	0	0	0	0	1	0	0	5	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise3_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	129	36	4;05.30	4.41667	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise4_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	172	51	4;07.05	4.58333	0	0	0	0	1	4	0	0	0	0	0	0	2	0	0	0	0	4	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise5_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	147	35	4;07.05	4.58333	0	0	1	0	1	2	0	0	0	0	0	2	0	0	1	1	0	6	x
./ttg_perceo_clan/Enfants_Long_louise_sow_4.3-4.7_louise6_sow.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	190	54	4;07.05	4.58333	0	0	0	0	0	3	1	0	1	0	0	1	0	0	1	1	0	2	x
./ttg_perceo_clan/Enfants_Long_lucie_can_5.3-5.9_lucie1_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	402	57	5;02.12	5.16667	0	0	0	1	4	35	0	0	5	0	0	6	1	0	1	0	0	14	x
./ttg_perceo_clan/Enfants_Long_lucie_can_5.3-5.9_lucie2_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	397	60	5;03.17	5.25	1	0	0	0	7	17	0	0	2	0	1	4	2	0	2	1	1	9	x
./ttg_perceo_clan/Enfants_Long_lucie_can_5.3-5.9_lucie3_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	381	47	5;04.24	5.33333	0	0	0	0	1	25	1	0	2	1	0	6	0	0	1	1	0	12	x
./ttg_perceo_clan/Enfants_Long_lucie_can_5.3-5.9_lucie4_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	414	81	5;04.24	5.33333	0	0	0	0	2	22	0	0	3	0	1	7	1	0	2	0	0	8	x
./ttg_perceo_clan/Enfants_Long_lucie_can_5.3-5.9_lucie5_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	447	104	5;05.30	5.41667	1	0	0	7	1	45	8	0	6	0	3	2	0	0	4	4	0	12	x
./ttg_perceo_clan/Enfants_Long_lucie_can_5.3-5.9_lucie6_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	446	62	5;07.05	5.58333	0	1	0	1	1	29	4	0	3	0	4	2	1	0	9	0	0	15	x
./ttg_perceo_clan/Enfants_Long_lucie_can_5.3-5.9_lucie7_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	432	65	5;07.05	5.58333	0	1	0	1	4	27	5	0	5	0	4	2	1	0	7	1	0	9	x
./ttg_perceo_clan/Enfants_Long_lucie_can_5.3-5.9_lucie8_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	399	55	5;08.11	5.66667	0	3	0	2	1	27	0	0	5	0	0	3	0	0	8	1	0	17	x
./ttg_perceo_clan/Enfants_Long_lucille_cha_5.0-5.6_lucille1_cha.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	657	142	5;	5	0	0	0	8	9	38	6	0	9	0	1	7	4	0	6	2	0	17	x
./ttg_perceo_clan/Enfants_Long_lucille_cha_5.0-5.6_lucille2_cha.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	374	77	5;04.24	5.33333	1	0	0	2	0	24	2	0	3	2	0	3	0	0	3	1	0	9	x
./ttg_perceo_clan/Enfants_Long_lucille_cha_5.0-5.6_lucille3_cha.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	624	102	5;05.30	5.41667	0	1	1	7	2	46	6	0	2	1	2	2	1	0	2	0	1	24	x
./ttg_perceo_clan/Enfants_Long_maelle_rou_5.6-5.11_maelle1_rou.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	517	107	5;05.30	5.41667	4	0	0	4	5	37	0	0	3	0	0	2	3	0	2	0	0	7	x
./ttg_perceo_clan/Enfants_Long_maelle_rou_5.6-5.11_maelle2_rou.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	768	122	5;09.17	5.75	1	2	0	6	2	60	3	0	4	3	1	6	1	0	5	1	0	17	x
./ttg_perceo_clan/Enfants_Long_maelle_rou_5.6-5.11_maelle3_rou.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	508	75	5;10.23	5.83333	1	2	0	13	6	34	0	0	1	1	0	3	1	0	0	1	0	22	x
./ttg_perceo_clan/Enfants_Long_marie_gue_4.10-5.0_marie1_gue.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	298	48	4;09.17	4.75	0	0	0	6	3	20	4	0	0	0	0	0	0	0	0	0	0	14	x
./ttg_perceo_clan/Enfants_Long_marie_gue_4.10-5.0_marie2_gue.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	693	103	5;	5	2	1	1	2	3	28	1	0	1	0	3	3	2	0	4	0	0	21	x
./ttg_perceo_clan/Enfants_Long_marie_gue_4.10-5.0_marie3_gue.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	618	112	5;02.12	5.16667	0	1	0	8	2	30	1	0	2	0	5	3	3	0	3	0	2	19	x
./ttg_perceo_clan/Enfants_Long_sarah_can_4.9-5.8_sarah10_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	374	49	5;03.17	5.25	0	0	2	1	6	36	0	0	2	4	1	6	9	0	2	0	0	6	x
./ttg_perceo_clan/Enfants_Long_sarah_can_4.9-5.8_sarah11_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	273	36	5;07.05	5.58333	0	0	1	3	1	29	0	0	3	2	3	0	2	0	4	3	0	10	x
./ttg_perceo_clan/Enfants_Long_sarah_can_4.9-5.8_sarah12_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	260	39	5;07.05	5.58333	0	0	1	0	5	21	0	0	0	2	0	4	2	0	1	0	0	2	x
./ttg_perceo_clan/Enfants_Long_sarah_can_4.9-5.8_sarah1_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	143	23	4;08.11	4.66667	0	0	0	0	0	5	0	0	4	0	0	1	0	0	0	0	0	3	x
./ttg_perceo_clan/Enfants_Long_sarah_can_4.9-5.8_sarah2_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	149	23	4;09.17	4.75	1	0	0	1	1	10	0	0	2	0	1	2	0	0	0	0	0	8	x
./ttg_perceo_clan/Enfants_Long_sarah_can_4.9-5.8_sarah3_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	181	23	4;10.23	4.83333	0	0	0	1	0	12	0	0	5	0	1	4	1	0	2	1	0	3	x
./ttg_perceo_clan/Enfants_Long_sarah_can_4.9-5.8_sarah4_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	184	30	4;10.23	4.83333	0	0	0	1	0	10	0	0	2	1	1	4	2	0	3	2	0	2	x
./ttg_perceo_clan/Enfants_Long_sarah_can_4.9-5.8_sarah5_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	251	47	5;	5	0	1	0	1	5	18	0	0	1	0	0	0	0	0	1	0	0	2	x
./ttg_perceo_clan/Enfants_Long_sarah_can_4.9-5.8_sarah6_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	349	49	5;	5	1	0	1	4	10	30	0	0	1	1	1	3	0	0	3	1	1	10	x
./ttg_perceo_clan/Enfants_Long_sarah_can_4.9-5.8_sarah7_can.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	437	70	5;01.05	5.08333	1	1	2	1	7	34	0	0	1	1	0	3	1	0	4	1	1	13	x
